name,keywords,cpuLv,ramLv,gpuLv
OTT,"OTT, 넷플릭스,디즈니플러스,티빙,유튜브",2,1,0
MS Word,"MS Word,워드,word,문서",2,1,0
MS Excel,"MS Excel,엑셀,excel,스프레드시트",2,1,0
MS PowerPoint,"MS PowerPoint,피피티,ppt,powerpoint,발표",2,1,0
한컴오피스 한글,"한컴오피스 한글,한글,hwp,한컴",2,1,0
Outlook,"Outlook,아웃룩,메일,outlook",2,1,0
Notion,"Notion,노션,notion,메모",2,1,0
Slack,"Slack,슬랙,slack,협업",2,1,0
Teams,"Teams,팀즈,teams",2,1,0
Zoom,"Zoom,줌,zoom,화상회의",2,1,0
Google Docs,"Google Docs,구글문서,docs",2,1,0
Google Sheets,"Google Sheets,구글시트,sheets",2,1,0
Airtable,"Airtable,에어테이블,airtable",2,1,0
Monday.com,"Monday.com,먼데이닷컴,monday",2,1,0
Trello,"Trello,트렐로,trello",2,1,0
Asana,"Asana,아사나,asana",2,1,0
Obsidian,"Obsidian,옵시디언,obsidian",2,1,0
Evernote,"Evernote,에버노트,evernote",2,1,0
PDF Expert,"PDF Expert,pdf,피디에프",2,1,0
WPS Office,"WPS Office,wps",2,1,0
Polaris Office,"Polaris Office,폴라리스",2,1,0
Skype,"Skype,스카이프",2,1,0
Discord,"Discord,디스코드,디코",2,1,0
OneNote,"OneNote,원노트",2,1,0
Dropbox Paper,"Dropbox Paper,드롭박스",2,1,0
Miro,"Miro,미로",2,1,0
Coda,"Coda,코다",2,1,0
Zoho Office,"Zoho Office,조호",2,1,0
GoodNotes,"GoodNotes,굿노트",2,1,0
Scrivener,"Scrivener,스크리브너",2,1,0
Spark,"Spark,스파크메일",2,1,0
Photoshop,"Photoshop,포토샵,photoshop,사진편집",3,2,1
Lightroom,"Lightroom,라이트룸,lightroom,보정",3,2,1
Affinity Photo,"Affinity Photo,어피니티,affinity",3,2,1
Capture One,"Capture One,캡쳐원",3,2,1
GIMP,"GIMP,김프,gimp",2,1,0
Pixlr,"Pixlr,픽슬러",2,1,0
Canva,"Canva,캔바,canva",2,1,0
Luminar Neo,"Luminar Neo,루미나,luminar",3,2,1
DxO Photolab,"DxO Photolab,dxo",3,2,1
Snapseed,"Snapseed,스냅시드",2,1,0
Fotor,"Fotor,포토",2,1,0
Darktable,"Darktable,다크테이블",2,1,0
RawTherapee,"RawTherapee,로우테라피",2,1,0
PaintShop Pro,"PaintShop Pro,페인트샵",3,2,1
Krita,"Krita,크리타",3,2,1
SAI,"SAI,사이툴,sai",2,1,0
CorelDRAW,"CorelDRAW,코렐드로우",3,2,1
Photopea,"Photopea,포토피아",2,1,0
FireAlpaca,"FireAlpaca,파이어알파카",2,1,0
MediBang Paint,"MediBang Paint,메디방",2,1,0
Sketchbook,"Sketchbook,스케치북",2,1,0
ArtRage,"ArtRage,아트레이지",2,1,0
Rebelle,"Rebelle,리벨",3,2,1
Inkscape,"Inkscape,잉크스케이프",2,1,0
PhotoDirector,"PhotoDirector,포토디렉터",2,1,0
Pixelmator,"Pixelmator,픽셀메이터",2,1,0
Topaz Photo AI,"Topaz Photo AI,토파즈,ai보정",3,2,1
Photoroom,"Photoroom,포토룸",2,1,0
BeFunky,"BeFunky,비펑키",2,1,0
Picsart,"Picsart,픽스아트",2,1,0
AutoCAD,"AutoCAD,오토캐드,autocad,캐드,cad",3,2,1
Revit,"Revit,레빗,revit",3,2,1
Solidworks,"Solidworks,솔리드웍스,solidworks",3,2,1
Rhino,"Rhino,라이노,rhino",3,2,1
SketchUp,"SketchUp,스케치업,sketchup",3,2,1
ArchiCAD,"ArchiCAD,아키캐드",3,2,1
CATIA,"CATIA,카티아,catia",3,2,1
Fusion 360,"Fusion 360,퓨전360,fusion",3,2,1
MicroStation,"MicroStation,마이크로스테이션",3,2,1
Civil 3D,"Civil 3D,시빌3디",3,2,1
Inventor,"Inventor,인벤터",3,2,1
2020 Design,"2020 Design,2020디자인",3,2,1
Tekla,"Tekla,테클라",3,2,1
ZWCAD,"ZWCAD,지더블유캐드",3,2,1
GstarCAD,"GstarCAD,지스타캐드",3,2,1
DraftSight,"DraftSight,드래프트사이트",3,2,1
BricsCAD,"BricsCAD,브릭스캐드",3,2,1
Vectorworks,"Vectorworks,벡터웍스",3,2,1
Solid Edge,"Solid Edge,솔리드엣지",3,2,1
Mastercam,"Mastercam,마스터캠",3,2,1
ANSYS,"ANSYS,앤시스,해석",3,2,1
MATLAB,"MATLAB,매트랩",3,2,1
LabVIEW,"LabVIEW,랩뷰",2,1,0
Siemens NX,"Siemens NX,에넥스,ug nx",3,2,1
Onshape,"Onshape,온셰이프",2,1,0
FreeCAD,"FreeCAD,프리캐드",2,1,0
Tinkercad,"Tinkercad,틴커캐드",2,1,0
IronCAD,"IronCAD,아이언캐드",3,2,1
KeyCreator,"KeyCreator,키크리에이터",3,2,1
Chief Architect,"Chief Architect,치프",3,2,1
Premiere Pro,"Premiere Pro,프리미어,프리미어프로,premiere,영상편집",3,2,1
After Effects,"After Effects,에펙,after effects,특수효과",3,2,1
DaVinci Resolve,"DaVinci Resolve,다빈치,davinci,색보정",3,2,1
Final Cut Pro,"Final Cut Pro,파이널컷,파컷",3,2,1
CapCut,"CapCut,캡컷,capcut,쇼츠편집",2,1,0
Filmora,"Filmora,필모라",2,1,0
Vegas Pro,"Vegas Pro,베가스",3,2,1
Avid,"Avid,아비드",3,2,1
Camtasia,"Camtasia,캠타시아,화면녹화",2,1,0
LumaFusion,"LumaFusion,루마퓨전",2,1,0
Movavi,"Movavi,모바비",2,1,0
Handbrake,"Handbrake,핸드브레이크,인코딩",3,2,1
OBS Studio,"OBS Studio,오비에스,방송",3,2,1
HitFilm,"HitFilm,히트필름",3,2,1
Lightworks,"Lightworks,라이트웍스",3,2,1
Shotcut,"Shotcut,샷컷",2,1,0
OpenShot,"OpenShot,오픈샷",2,1,0
VideoPad,"VideoPad,비디오패드",2,1,0
PowerDirector,"PowerDirector,파워디렉터",3,2,1
Pinnacle Studio,"Pinnacle Studio,피나클",3,2,1
Magix Video,"Magix Video,매직스",3,2,1
iMovie,"iMovie,아이무비",2,1,0
Edius,"Edius,에디우스",3,2,1
Clipchamp,"Clipchamp,클립챔프",2,1,0
WeVideo,"WeVideo,위비디오",2,1,0
Animaker,"Animaker,애니메이커",2,1,0
Vyond,"Vyond,비욘드",2,1,0
Powtoon,"Powtoon,파우툰",2,1,0
